v1	I(V2)	I(V3)	I(V4)	I(V5)
Step Information: Run=1  (Run: 1/500)
3.330000000000000e-001	3.335842e-005	1.663417e-005	8.301181e-006	4.162005e-006
6.660000000000000e-001	6.671684e-005	3.326833e-005	1.660236e-005	8.324010e-006
9.990000000000001e-001	1.000753e-004	4.990250e-005	2.490354e-005	1.248602e-005
1.000000000000000e+000	1.001754e-004	4.995245e-005	2.492847e-005	1.249851e-005
Step Information: Run=47  (Run: 47/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329111e-005	1.663532e-005	8.314342e-006	4.161347e-006
6.660000000000000e-001	6.658222e-005	3.327064e-005	1.662868e-005	8.322693e-006
9.990000000000001e-001	9.987332e-005	4.990596e-005	2.494303e-005	1.248404e-005
1.000000000000000e+000	9.997330e-005	4.995592e-005	2.496799e-005	1.249654e-005
Step Information: Run=48  (Run: 48/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.330965e-005	1.667382e-005	8.329603e-006	4.155537e-006
6.660000000000000e-001	6.661930e-005	3.334764e-005	1.665921e-005	8.311074e-006
9.990000000000001e-001	9.992896e-005	5.002146e-005	2.498881e-005	1.246661e-005
1.000000000000000e+000	1.000290e-004	5.007153e-005	2.501382e-005	1.247909e-005
Step Information: Run=49  (Run: 49/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.333142e-005	1.662760e-005	8.335321e-006	4.160006e-006
6.660000000000000e-001	6.666283e-005	3.325520e-005	1.667064e-005	8.320013e-006
9.990000000000001e-001	9.999425e-005	4.988281e-005	2.500596e-005	1.248002e-005
1.000000000000000e+000	1.000943e-004	4.993274e-005	2.503099e-005	1.249251e-005
Step Information: Run=50  (Run: 50/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329768e-005	1.663163e-005	8.361007e-006	4.162477e-006
6.660000000000000e-001	6.659536e-005	3.326327e-005	1.672201e-005	8.324953e-006
9.990000000000001e-001	9.989305e-005	4.989490e-005	2.508302e-005	1.248743e-005
1.000000000000000e+000	9.999304e-005	4.994484e-005	2.510813e-005	1.249993e-005
Step Information: Run=51  (Run: 51/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.326404e-005	1.663410e-005	8.316276e-006	4.182832e-006
6.660000000000000e-001	6.652807e-005	3.326820e-005	1.663255e-005	8.365664e-006
9.990000000000001e-001	9.979211e-005	4.990229e-005	2.494883e-005	1.254850e-005
1.000000000000000e+000	9.989200e-005	4.995224e-005	2.497380e-005	1.256106e-005
Step Information: Run=52  (Run: 52/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.325122e-005	1.662753e-005	8.314449e-006	4.182414e-006
6.660000000000000e-001	6.650244e-005	3.325507e-005	1.662890e-005	8.364827e-006
9.990000000000001e-001	9.975366e-005	4.988260e-005	2.494335e-005	1.254724e-005
1.000000000000000e+000	9.985352e-005	4.993254e-005	2.496831e-005	1.255980e-005
Step Information: Run=53  (Run: 53/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.335184e-005	1.665324e-005	8.336375e-006	4.146702e-006
6.660000000000000e-001	6.670368e-005	3.330649e-005	1.667275e-005	8.293405e-006
9.990000000000001e-001	1.000555e-004	4.995973e-005	2.500912e-005	1.244011e-005
1.000000000000000e+000	1.001557e-004	5.000974e-005	2.503416e-005	1.245256e-005
Step Information: Run=54  (Run: 54/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.329167e-005	1.668323e-005	8.305708e-006	4.178112e-006
6.660000000000000e-001	6.658334e-005	3.336646e-005	1.661142e-005	8.356224e-006
9.990000000000001e-001	9.987501e-005	5.004969e-005	2.491712e-005	1.253434e-005
1.000000000000000e+000	9.997499e-005	5.009979e-005	2.494207e-005	1.254688e-005
Step Information: Run=55  (Run: 55/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.331935e-005	1.665985e-005	8.319873e-006	4.148624e-006
6.660000000000000e-001	6.663870e-005	3.331971e-005	1.663975e-005	8.297247e-006
9.990000000000001e-001	9.995805e-005	4.997956e-005	2.495962e-005	1.244587e-005
1.000000000000000e+000	1.000581e-004	5.002959e-005	2.498460e-005	1.245833e-005
Step Information: Run=56  (Run: 56/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.326088e-005	1.668446e-005	8.316912e-006	4.165732e-006
6.660000000000000e-001	6.652176e-005	3.336891e-005	1.663382e-005	8.331464e-006
9.990000000000001e-001	9.978264e-005	5.005337e-005	2.495074e-005	1.249720e-005
1.000000000000000e+000	9.988253e-005	5.010347e-005	2.497571e-005	1.250971e-005
Step Information: Run=57  (Run: 57/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.328134e-005	1.662431e-005	8.338354e-006	4.149313e-006
6.660000000000000e-001	6.656268e-005	3.324863e-005	1.667671e-005	8.298625e-006
9.990000000000001e-001	9.984402e-005	4.987294e-005	2.501506e-005	1.244794e-005
